:START_ID,:END_ID,:TYPE
600051,100000000,belong_to
600209,100000000,belong_to
600212,100000000,belong_to
600256,100000000,belong_to
600576,100000000,belong_to
600603,100000000,belong_to
600614,100000000,belong_to
600620,100000000,belong_to
600622,100000000,belong_to
600624,100000000,belong_to
600647,100000000,belong_to
600687,100000000,belong_to
600701,100000000,belong_to
600730,100000000,belong_to
600770,100000000,belong_to
600777,100000000,belong_to
600800,100000000,belong_to
600805,100000000,belong_to
600811,100000000,belong_to
600846,100000000,belong_to
600892,100000000,belong_to
000008,100000000,belong_to
000301,100000000,belong_to
000576,100000000,belong_to
000632,100000000,belong_to
000633,100000000,belong_to
000652,100000000,belong_to
000701,100000000,belong_to
000839,100000000,belong_to
000881,100000000,belong_to
000909,100000000,belong_to
600012,100000001,belong_to
600020,100000001,belong_to
600033,100000001,belong_to
600035,100000001,belong_to
600106,100000001,belong_to
600269,100000001,belong_to
600350,100000001,belong_to
600368,100000001,belong_to
600377,100000001,belong_to
600548,100000001,belong_to
601107,100000001,belong_to
601188,100000001,belong_to
601518,100000001,belong_to
000429,100000001,belong_to
000548,100000001,belong_to
000828,100000001,belong_to
000886,100000001,belong_to
000900,100000001,belong_to
600061,100000002,belong_to
600063,100000002,belong_to
600527,100000002,belong_to
600810,100000002,belong_to
600889,100000002,belong_to
601113,100000002,belong_to
601233,100000002,belong_to
000420,100000002,belong_to
000584,100000002,belong_to
000615,100000002,belong_to
000677,100000002,belong_to
000687,100000002,belong_to
000703,100000002,belong_to
000782,100000002,belong_to
000936,100000002,belong_to
000949,100000002,belong_to
000976,100000002,belong_to
002015,100000002,belong_to
002064,100000002,belong_to
002080,100000002,belong_to
002172,100000002,belong_to
002206,100000002,belong_to
002254,100000002,belong_to
002427,100000002,belong_to
002493,100000002,belong_to
300180,100000002,belong_to
600031,100000003,belong_to
600114,100000003,belong_to
600149,100000003,belong_to
600169,100000003,belong_to
600218,100000003,belong_to
600243,100000003,belong_to
600262,100000003,belong_to
600320,100000003,belong_to
600346,100000003,belong_to
600388,100000003,belong_to
600421,100000003,belong_to
600435,100000003,belong_to
600475,100000003,belong_to
600499,100000003,belong_to
600520,100000003,belong_to
600526,100000003,belong_to
600579,100000003,belong_to
600582,100000003,belong_to
600592,100000003,belong_to
600619,100000003,belong_to
600710,100000003,belong_to
600761,100000003,belong_to
600765,100000003,belong_to
600815,100000003,belong_to
600841,100000003,belong_to
600855,100000003,belong_to
600860,100000003,belong_to
600984,100000003,belong_to
601002,100000003,belong_to
601038,100000003,belong_to
601100,100000003,belong_to
601106,100000003,belong_to
601177,100000003,belong_to
601218,100000003,belong_to
601226,100000003,belong_to
601369,100000003,belong_to
601608,100000003,belong_to
601717,100000003,belong_to
601798,100000003,belong_to
603011,100000003,belong_to
603012,100000003,belong_to
603088,100000003,belong_to
603169,100000003,belong_to
603308,100000003,belong_to
603315,100000003,belong_to
603318,100000003,belong_to
603338,100000003,belong_to
603355,100000003,belong_to
603698,100000003,belong_to
603699,100000003,belong_to
603789,100000003,belong_to
000039,100000003,belong_to
000157,100000003,belong_to
000404,100000003,belong_to
000410,100000003,belong_to
000425,100000003,belong_to
000519,100000003,belong_to
000528,100000003,belong_to
000530,100000003,belong_to
000551,100000003,belong_to
