高管姓名,性别,年龄,股票代码,职位,:LABEL,PersonId:ID
杨世林,男,65,600976,独立董事,人,1000137
果德安,男,56,600976,独立董事,人,1000138
张越,男,45,000890,"董事长,董事",人,1000139
张文栋,男,45,000890,董事,人,1000140
陈斌雷,男,34,000890,董事,人,1000141
赵军,男,50,000890,董事,人,1000142
周玲,女,39,000890,董事,人,1000143
王建明,男,41,000890,董事,人,1000144
张韵,女,32,000890,董事,人,1000145
黄芳,女,43,000890,董事,人,1000146
钟节平,男,41,000890,独立董事,人,1000147
程龙生,男,54,000890,独立董事,人,1000148
周辉,男,51,000890,独立董事,人,1000149
李明辉,男,44,000890,独立董事,人,1000150
霍达,男,50,600999,"董事长,执行董事",人,1000151
王岩,男,52,600999,执行董事,人,1000152
熊剑涛,男,49,600999,执行董事,人,1000153
彭磊,女,45,600999,非执行董事,人,1000154
黄坚,男,48,600999,非执行董事,人,1000155
熊贤良,男,50,600999,非执行董事,人,1000156
苏敏,女,50,600999,非执行董事,人,1000157
王大雄,男,57,600999,非执行董事,人,1000158
粟健,男,46,600999,非执行董事,人,1000159
陈志刚,男,46,600999,非执行董事,人,1000160
向华,男,47,600999,独立非执行董事,人,1000161
肖厚发,男,50,600999,独立非执行董事,人,1000162
熊伟,男,42,600999,独立非执行董事,人,1000163
胡鸿高,男,63,600999,独立非执行董事,人,1000164
汪棣,男,59,600999,独立非执行董事,人,1000165
徐子瑛,女,49,600833,"董事长,董事",人,1000166
孙伟,男,48,600833,"副董事长,董事",人,1000167
史小龙,男,41,600833,董事,人,1000168
周晶波,男,35,600833,董事,人,1000169
赵陈斌,男,36,600833,董事,人,1000170
朱洪超,男,59,600833,独立董事,人,1000171
江宪,男,63,600833,独立董事,人,1000172
刘涛,女,52,600833,独立董事,人,1000173
胡宇,男,46,600560,"董事长,董事",人,1000174
杨光浩,男,46,600560,董事,人,1000175
吴子利,男,53,600560,董事,人,1000176
李江,男,53,600560,董事,人,1000177
郝晓东,男,38,600560,董事,人,1000178
高达,男,54,600560,董事,人,1000179
王清峰,男,43,600560,独立董事,人,1000180
孙建科,男,56,600560,独立董事,人,1000181
耿芙蓉,女,40,600560,独立董事,人,1000182
陈焕雄,男,42,002454,"董事长,董事",人,1000183
纪安康,男,45,002454,"副董事长,董事",人,1000184
陈楚辉,男,38,002454,董事,人,1000185
杨国平,男,62,002454,董事,人,1000186
陈智颖,男,25,002454,董事,人,1000187
阎广兴,男,51,002454,董事,人,1000188
凌玉章,男,73,002454,独立董事,人,1000189
刘榕,男,69,002454,独立董事,人,1000190
徐士英,女,70,002454,独立董事,人,1000191
徐立华,男,55,600130,"董事长,董事",人,1000192
刘方明,男,53,600130,董事,人,1000193
戴茂余,男,54,600130,董事,人,1000194
王海霖,,37,600130,董事,人,1000195
胡左浩,男,54,600130,独立董事,人,1000196
刘舟宏,男,57,600130,独立董事,人,1000197
张恒顺,男,55,600130,独立董事,人,1000198
王宏,男,56,000039,"董事长,非执行董事",人,1000199
王宇航,男,57,000039,"副董事长,非执行董事",人,1000200
麦伯良,男,59,000039,执行董事,人,1000201
刘冲,男,48,000039,非执行董事,人,1000202
胡贤甫,男,49,000039,非执行董事,人,1000203
潘承伟,男,72,000039,独立非执行董事,人,1000204
王桂埙,男,67,000039,独立非执行董事,人,1000205
潘正启,男,65,000039,独立非执行董事,人,1000206
张松山,男,57,002004,"董事长,董事",人,1000207
彭云辉,女,54,002004,董事,人,1000208
王榕,男,46,002004,董事,人,1000209
王加荣,男,54,002004,董事,人,1000210
于俊田,男,66,002004,董事,人,1000211
梁爽,女,43,002004,独立董事,人,1000212
武文生,男,51,002004,独立董事,人,1000213
郝颖,男,42,002004,独立董事,人,1000214
刘建荣,男,44,000717,"董事长,董事",人,1000215
张永生,男,52,000717,董事,人,1000216
刘二,男,49,000717,董事,人,1000217
卢学云,男,53,000717,董事,人,1000218
赖晓敏,男,46,000717,董事,人,1000219
王少杰,男,56,000717,董事,人,1000220
严鸽群,男,47,000717,董事,人,1000221
游达明,男,55,000717,独立董事,人,1000222
林睦翔,男,51,000717,独立董事,人,1000223
莫玲,女,43,000717,独立董事,人,1000224
冯育升,男,62,000717,独立董事,人,1000225
张庆文,男,48,300312,"董事长,董事",人,1000226
戴芙蓉,女,45,300312,"副董事长,董事",人,1000227
郑志伟,男,49,300312,董事,人,1000228
张丽红,女,49,300312,董事,人,1000229
夏志宏,男,56,300312,独立董事,人,1000230
陈长源,男,56,300312,独立董事,人,1000231
罗建钢,男,56,300312,独立董事,人,1000232
徐永模,男,62,900933,"董事长,董事",人,1000233
李叶青,男,54,900933,董事,人,1000234
刘凤山,男,53,900933,董事,人,1000235
Ian Riley,男,60,900933,董事,人,1000236
Roland Koehler,男,65,900933,董事,人,1000237
Geraldine Picaud,女,48,900933,董事,人,1000238
刘艳,女,45,900933,独立董事,人,1000239
王立彦,男,61,900933,独立董事,人,1000240
Simon Mackinnon,男,57,900933,独立董事,人,1000241
高俊芳,女,64,002680,"董事长,董事",人,1000242
张洺豪,男,37,002680,"副董事长,董事",人,1000243
赵春志,男,34,002680,董事,人,1000244
张晶,女,53,002680,董事,人,1000245
王祥明,男,46,002680,董事,人,1000246
刘良文,男,65,002680,董事,人,1000247
马东光,男,62,002680,独立董事,人,1000248
徐泓,女,64,002680,独立董事,人,1000249
沈义,男,45,002680,独立董事,人,1000250
倪永培,男,66,603198,"董事长,董事",人,1000251
杨照兵,男,42,603198,董事,人,1000252
叶玉琼,男,52,603198,董事,人,1000253
张丹丹,女,36,603198,董事,人,1000254
秦海,男,50,603198,董事,人,1000255
潘剑,男,45,603198,董事,人,1000256
於恒强,男,54,603198,独立董事,人,1000257
许立新,男,52,603198,独立董事,人,1000258
宋书玉,男,56,603198,独立董事,人,1000259
唐炳泉,男,67,002395,"董事长,董事",人,1000260
罗红兵,男,41,002395,董事,人,1000261
田为坤,男,49,002395,董事,人,1000262
刘连伟,男,40,002395,董事,人,1000263
唐越峰,男,39,002395,董事,人,1000264
顾希红,男,43,002395,董事,人,1000265
薛济民,男,55,002395,独立董事,人,1000266
陈文化,男,52,002395,独立董事,人,1000267
冯学本,男,70,002395,独立董事,人,1000268
胡军,男,41,000652,"董事长,董事",人,1000269
谢剑琳,女,53,000652,董事,人,1000270
张旺,男,38,000652,董事,人,1000271
李润茹,女,55,000652,董事,人,1000272
崔雪松,男,40,000652,董事,人,1000273
张东阳,男,47,000652,董事,人,1000274
姚颐,女,45,000652,独立董事,人,1000275
