股票代码:ID,股票名称,:LABEL
000722,湖南发展,股票
000723,美锦能源,股票
000725,京东方A,股票
000726,鲁泰A,股票
000727,华东科技,股票
000728,国元证券,股票
000729,燕京啤酒,股票
000731,四川美丰,股票
000732,泰禾集团,股票
000733,振华科技,股票
000735,罗牛山,股票
000736,中交地产,股票
000737,ST南风,股票
000738,航发控制,股票
000739,普洛药业,股票
000750,国海证券,股票
000751,锌业股份,股票
000752,*ST西发,股票
000753,漳州发展,股票
000755,山西路桥,股票
000756,新华制药,股票
000757,浩物股份,股票
000758,中色股份,股票
000759,中百集团,股票
000760,*ST斯太,股票
000761,本钢板材,股票
000762,西藏矿业,股票
000766,通化金马,股票
000767,漳泽电力,股票
000768,中航飞机,股票
000776,广发证券,股票
000777,中核科技,股票
000778,新兴铸管,股票
000779,三毛派神,股票
000780,平庄能源,股票
000782,美达股份,股票
000783,长江证券,股票
000785,武汉中商,股票
000786,北新建材,股票
000788,北大医药,股票
000789,万年青,股票
000790,泰合健康,股票
000791,甘肃电投,股票
000792,*ST盐湖,股票
000793,华闻传媒,股票
000795,英洛华,股票
000796,凯撒旅游,股票
000797,中国武夷,股票
000798,中水渔业,股票
000799,酒鬼酒,股票
000800,一汽轿车,股票
000801,四川九洲,股票
000802,北京文化,股票
000803,金宇车城,股票
000806,ST银河,股票
000807,云铝股份,股票
000809,铁岭新城,股票
000810,创维数字,股票
000811,冰轮环境,股票
000812,陕西金叶,股票
000813,德展健康,股票
000815,美利云,股票
000816,*ST慧业,股票
000818,航锦科技,股票
000819,岳阳兴长,股票
000820,*ST节能,股票
000821,京山轻机,股票
000822,山东海化,股票
000823,超声电子,股票
000825,太钢不锈,股票
000826,启迪桑德,股票
000828,东莞控股,股票
000829,天音控股,股票
000830,鲁西化工,股票
000831,五矿稀土,股票
000833,粤桂股份,股票
000835,长城动漫,股票
000836,富通鑫茂,股票
000837,秦川机床,股票
000838,财信发展,股票
000839,中信国安,股票
000848,承德露露,股票
000850,华茂股份,股票
000851,高鸿股份,股票
000852,石化机械,股票
000856,冀东装备,股票
000858,五粮液,股票
000859,国风塑业,股票
000860,顺鑫农业,股票
000861,海印股份,股票
000862,银星能源,股票
000863,三湘印象,股票
000868,*ST安凯,股票
000869,张裕A,股票
000875,吉电股份,股票
000876,新希望,股票
000877,天山股份,股票
000878,云南铜业,股票
000880,潍柴重机,股票
000881,中广核技,股票
000882,华联股份,股票
000883,湖北能源,股票
000885,城发环境,股票
000886,海南高速,股票
000887,中鼎股份,股票
000888,峨眉山A,股票
000889,中嘉博创,股票
000890,法尔胜,股票
000892,欢瑞世纪,股票
000893,*ST东凌,股票
000895,双汇发展,股票
000897,*ST津滨,股票
000898,鞍钢股份,股票
000899,赣能股份,股票
000900,现代投资,股票
000901,航天科技,股票
000902,新洋丰,股票
000903,云内动力,股票
000905,厦门港务,股票
000906,浙商中拓,股票
000908,景峰医药,股票
000909,数源科技,股票
000910,大亚圣象,股票
000911,*ST南糖,股票
000912,泸天化,股票
000913,钱江摩托,股票
000915,山大华特,股票
000917,电广传媒,股票
000918,嘉凯城,股票
000919,金陵药业,股票
000920,南方汇通,股票
000921,海信家电,股票
000922,佳电股份,股票
000923,河北宣工,股票
000925,众合科技,股票
000926,福星股份,股票
000927,一汽夏利,股票
000928,中钢国际,股票
000929,兰州黄河,股票
000930,中粮生化,股票
000931,中关村,股票
000932,华菱钢铁,股票
000933,神火股份,股票
000935,四川双马,股票
000936,华西股份,股票
000937,冀中能源,股票
000938,紫光股份,股票
000948,南天信息,股票
000949,新乡化纤,股票
000950,重药控股,股票
000951,中国重汽,股票
000952,广济药业,股票
000953,*ST河化,股票
000955,欣龙控股,股票
000957,中通客车,股票
000958,东方能源,股票
000959,首钢股份,股票
000960,锡业股份,股票
000961,中南建设,股票
000962,东方钽业,股票
000963,华东医药,股票
000965,天保基建,股票
000966,长源电力,股票
000967,盈峰环境,股票
000968,蓝焰控股,股票
000969,安泰科技,股票
000970,中科三环,股票
000971,*ST高升,股票
000972,ST中基,股票
000973,佛塑科技,股票
000975,银泰资源,股票
000976,华铁股份,股票
000977,浪潮信息,股票
000978,桂林旅游,股票
000980,众泰汽车,股票
000981,ST银亿,股票
000982,*ST中绒,股票
000983,西山煤电,股票
000985,大庆华科,股票
000987,越秀金控,股票
000988,华工科技,股票
000989,九芝堂,股票
000990,诚志股份,股票
000993,闽东电力,股票
000996,中国中期,股票
000997,新大陆,股票
000998,隆平高科,股票
000999,华润三九,股票
001696,宗申动力,股票
001872,招商港口,股票
001896,豫能控股,股票
001965,招商公路,股票
001979,招商蛇口,股票
002001,新和成,股票
002002,鸿达兴业,股票
002003,伟星股份,股票
002004,华邦健康,股票
002005,*ST德豪,股票
002006,精功科技,股票
002007,华兰生物,股票
002008,大族激光,股票
002009,天奇股份,股票
002010,传化智联,股票
002011,盾安环境,股票
002012,凯恩股份,股票
002013,中航机电,股票
002014,永新股份,股票
002015,霞客环保,股票
002016,世荣兆业,股票
002017,东信和平,股票
002018,*ST华信,股票
002019,亿帆医药,股票
002020,京新药业,股票
002021,*ST中捷,股票
002022,科华生物,股票
002023,海特高新,股票
002024,苏宁易购,股票
002025,航天电器,股票
002026,山东威达,股票
002027,分众传媒,股票
002028,思源电气,股票
002029,七匹狼,股票
002030,达安基因,股票
002031,巨轮智能,股票
002032,苏泊尔,股票
002033,丽江旅游,股票
002034,旺能环境,股票
002035,华帝股份,股票
002036,联创电子,股票
002037,久联发展,股票
002038,双鹭药业,股票
002039,黔源电力,股票
002040,南京港,股票
002041,登海种业,股票
002042,华孚时尚,股票
002043,兔宝宝,股票
002044,美年健康,股票
002045,国光电器,股票
002046,轴研科技,股票
002047,宝鹰股份,股票
002048,宁波华翔,股票
002049,紫光国微,股票
002050,三花智控,股票
002051,中工国际,股票
002052,同洲电子,股票
002053,云南能投,股票
002054,德美化工,股票
002055,得润电子,股票
002056,横店东磁,股票
002057,中钢天源,股票
002058,威尔泰,股票
002059,云南旅游,股票
002060,粤水电,股票
002061,浙江交科,股票
002062,宏润建设,股票
002063,远光软件,股票
002064,华峰氨纶,股票
002065,东华软件,股票
002066,瑞泰科技,股票
002067,景兴纸业,股票
002068,黑猫股份,股票
002069,獐子岛,股票
002071,长城影视,股票
002072,*ST凯瑞,股票
002073,软控股份,股票
002074,国轩高科,股票
002075,沙钢股份,股票
002076,雪莱特,股票
002077,大港股份,股票
002078,太阳纸业,股票
002079,苏州固锝,股票
002080,中材科技,股票
002081,金螳螂,股票
002082,万邦德,股票
002083,孚日股份,股票
002084,海鸥住工,股票
002085,万丰奥威,股票
002086,ST东海洋,股票
002087,新野纺织,股票
002088,鲁阳节能,股票
002089,*ST新海,股票
002090,金智科技,股票
002091,江苏国泰,股票
002092,中泰化学,股票
002093,国脉科技,股票
002094,青岛金王,股票
002095,生意宝,股票
002096,南岭民爆,股票
002097,山河智能,股票
002098,浔兴股份,股票
002099,海翔药业,股票
002100,天康生物,股票
002101,广东鸿图,股票
002102,ST冠福,股票
002103,广博股份,股票
002104,恒宝股份,股票
002105,信隆健康,股票
002106,莱宝高科,股票
002107,沃华医药,股票
002108,沧州明珠,股票
002109,兴化股份,股票
002110,三钢闽光,股票
002111,威海广泰,股票
002112,三变科技,股票
002113,ST天润,股票
002114,罗平锌电,股票
002115,三维通信,股票
002116,中国海诚,股票
002117,东港股份,股票
002118,紫鑫药业,股票
002119,康强电子,股票
002120,韵达股份,股票
002121,科陆电子,股票
002122,*ST天马,股票
002123,梦网集团,股票
002124,天邦股份,股票
002125,湘潭电化,股票
002126,银轮股份,股票
002127,南极电商,股票
002128,露天煤业,股票
002129,中环股份,股票
002130,沃尔核材,股票
002131,利欧股份,股票
002132,恒星科技,股票
002133,广宇集团,股票
002134,天津普林,股票
002135,东南网架,股票
002136,安纳达,股票
002137,麦达数字,股票
002138,顺络电子,股票
002139,拓邦股份,股票
002140,东华科技,股票
002141,贤丰控股,股票
002142,宁波银行,股票
002143,*ST印纪,股票
002144,宏达高科,股票
002145,中核钛白,股票
002146,荣盛发展,股票
002147,ST新光,股票
002148,北纬科技,股票
002149,西部材料,股票
002150,通润装备,股票
002151,北斗星通,股票
002152,广电运通,股票
002153,石基信息,股票
002154,报喜鸟,股票
002155,湖南黄金,股票
002156,通富微电,股票
002157,正邦科技,股票
002158,汉钟精机,股票
002159,三特索道,股票
