:START_ID,:END_ID,:TYPE
1000000,601058,work_in
1000001,601058,work_in
1000002,601058,work_in
1000003,601058,work_in
1000004,601058,work_in
1000005,601058,work_in
1000006,601058,work_in
1000007,601058,work_in
1000008,601058,work_in
1000009,600219,work_in
1000010,600219,work_in
1000011,600219,work_in
1000012,600219,work_in
1000013,600219,work_in
1000014,600219,work_in
1000015,600219,work_in
1000016,600219,work_in
1000017,600219,work_in
1000018,300345,work_in
1000019,300345,work_in
1000020,300345,work_in
1000021,300345,work_in
1000022,300345,work_in
1000023,300345,work_in
1000024,600649,work_in
1000025,600649,work_in
1000026,600649,work_in
1000027,600649,work_in
1000028,600649,work_in
1000029,600649,work_in
1000030,600649,work_in
1000031,600649,work_in
1000032,600649,work_in
1000033,002287,work_in
1000034,002287,work_in
1000035,002287,work_in
1000036,002287,work_in
1000037,002287,work_in
1000038,002287,work_in
1000039,002287,work_in
1000040,002268,work_in
1000041,002268,work_in
1000042,002268,work_in
1000043,002268,work_in
1000044,002268,work_in
1000045,002268,work_in
1000046,002268,work_in
1000047,002268,work_in
1000048,002268,work_in
1000049,603989,work_in
1000050,603989,work_in
1000051,603989,work_in
1000052,603989,work_in
1000053,603989,work_in
1000054,603989,work_in
1000055,603989,work_in
1000056,300200,work_in
1000057,300200,work_in
1000058,300200,work_in
1000059,300200,work_in
1000060,300200,work_in
1000061,300200,work_in
1000062,300200,work_in
1000063,002638,work_in
1000064,002638,work_in
1000065,002638,work_in
1000066,002638,work_in
1000067,002638,work_in
1000068,002638,work_in
1000069,002638,work_in
1000070,002638,work_in
1000071,002638,work_in
1000072,000605,work_in
1000073,000605,work_in
1000074,000605,work_in
1000075,000605,work_in
1000076,000605,work_in
1000077,000605,work_in
1000078,000605,work_in
1000079,000605,work_in
1000080,000605,work_in
1000081,002511,work_in
1000082,002511,work_in
1000083,002511,work_in
1000084,002511,work_in
1000085,002511,work_in
1000086,002511,work_in
1000087,002511,work_in
1000088,002511,work_in
1000089,002511,work_in
1000090,300083,work_in
1000091,300083,work_in
1000092,300083,work_in
1000093,300083,work_in
1000094,300083,work_in
1000095,300083,work_in
1000096,600425,work_in
1000097,600425,work_in
1000098,600425,work_in
1000099,600425,work_in
1000100,600425,work_in
1000101,600425,work_in
1000102,600425,work_in
1000103,300129,work_in
1000104,300129,work_in
1000105,300129,work_in
1000106,300129,work_in
1000107,300129,work_in
1000108,300129,work_in
1000109,300129,work_in
1000110,300129,work_in
1000111,300129,work_in
1000112,300129,work_in
1000113,300129,work_in
1000114,300129,work_in
1000115,300129,work_in
1000116,002141,work_in
1000117,002141,work_in
1000118,002141,work_in
1000119,002141,work_in
1000120,002141,work_in
1000121,600075,work_in
1000122,600075,work_in
1000123,600075,work_in
1000124,600075,work_in
1000125,600075,work_in
1000126,600075,work_in
1000127,600075,work_in
1000128,600075,work_in
1000129,600075,work_in
1000130,600976,work_in
1000131,600976,work_in
1000132,600976,work_in
1000133,600976,work_in
1000134,600976,work_in
1000135,600976,work_in
1000136,600976,work_in
1000137,600976,work_in
1000138,600976,work_in
1000139,000890,work_in
1000140,000890,work_in
1000141,000890,work_in
1000142,000890,work_in
1000143,000890,work_in
1000144,000890,work_in
1000145,000890,work_in
1000146,000890,work_in
1000147,000890,work_in
1000148,000890,work_in
1000149,000890,work_in
1000150,000890,work_in
1000151,600999,work_in
1000152,600999,work_in
1000153,600999,work_in
1000154,600999,work_in
1000155,600999,work_in
1000156,600999,work_in
1000157,600999,work_in
1000158,600999,work_in
1000159,600999,work_in
1000160,600999,work_in
1000161,600999,work_in
1000162,600999,work_in
1000163,600999,work_in
1000164,600999,work_in
1000165,600999,work_in
1000166,600833,work_in
1000167,600833,work_in
1000168,600833,work_in
1000169,600833,work_in
1000170,600833,work_in
1000171,600833,work_in
1000172,600833,work_in
1000173,600833,work_in
1000174,600560,work_in
1000175,600560,work_in
1000176,600560,work_in
1000177,600560,work_in
1000178,600560,work_in
1000179,600560,work_in
1000180,600560,work_in
1000181,600560,work_in
1000182,600560,work_in
1000183,002454,work_in
1000184,002454,work_in
1000185,002454,work_in
1000186,002454,work_in
1000187,002454,work_in
1000188,002454,work_in
1000189,002454,work_in
1000190,002454,work_in
1000191,002454,work_in
1000192,600130,work_in
1000193,600130,work_in
1000194,600130,work_in
1000195,600130,work_in
1000196,600130,work_in
1000197,600130,work_in
1000198,600130,work_in
1000199,000039,work_in
1000200,000039,work_in
1000201,000039,work_in
1000202,000039,work_in
1000203,000039,work_in
1000204,000039,work_in
1000205,000039,work_in
1000206,000039,work_in
1000207,002004,work_in
1000208,002004,work_in
