:START_ID,:END_ID,:TYPE
300070,10000000,belong_to
300003,10000001,belong_to
300527,10000001,belong_to
600072,10000001,belong_to
600150,10000001,belong_to
600482,10000001,belong_to
600685,10000001,belong_to
600764,10000001,belong_to
601919,10000001,belong_to
601989,10000001,belong_to
000008,10000002,belong_to
000063,10000002,belong_to
000070,10000002,belong_to
000586,10000002,belong_to
000636,10000002,belong_to
000810,10000002,belong_to
000836,10000002,belong_to
000890,10000002,belong_to
000917,10000002,belong_to
000938,10000002,belong_to
000988,10000002,belong_to
002017,10000002,belong_to
002023,10000002,belong_to
002089,10000002,belong_to
002093,10000002,belong_to
002115,10000002,belong_to
002138,10000002,belong_to
002151,10000002,belong_to
002179,10000002,belong_to
002194,10000002,belong_to
002217,10000002,belong_to
002229,10000002,belong_to
002231,10000002,belong_to
002281,10000002,belong_to
002309,10000002,belong_to
002313,10000002,belong_to
002364,10000002,belong_to
002384,10000002,belong_to
002396,10000002,belong_to
002402,10000002,belong_to
002446,10000002,belong_to
002475,10000002,belong_to
002491,10000002,belong_to
002544,10000002,belong_to
002547,10000002,belong_to
002579,10000002,belong_to
002725,10000002,belong_to
002792,10000002,belong_to
002796,10000002,belong_to
002837,10000002,belong_to
002848,10000002,belong_to
002860,10000002,belong_to
002885,10000002,belong_to
002886,10000002,belong_to
002889,10000002,belong_to
002897,10000002,belong_to
002902,10000002,belong_to
002927,10000002,belong_to
002929,10000002,belong_to
300025,10000002,belong_to
300050,10000002,belong_to
300079,10000002,belong_to
300123,10000002,belong_to
300134,10000002,belong_to
300136,10000002,belong_to
300209,10000002,belong_to
300217,10000002,belong_to
300250,10000002,belong_to
300252,10000002,belong_to
300259,10000002,belong_to
300265,10000002,belong_to
300292,10000002,belong_to
300299,10000002,belong_to
300308,10000002,belong_to
300310,10000002,belong_to
300312,10000002,belong_to
300319,10000002,belong_to
300322,10000002,belong_to
300366,10000002,belong_to
300379,10000002,belong_to
300394,10000002,belong_to
300395,10000002,belong_to
300397,10000002,belong_to
300408,10000002,belong_to
300414,10000002,belong_to
300493,10000002,belong_to
300502,10000002,belong_to
300504,10000002,belong_to
300537,10000002,belong_to
300548,10000002,belong_to
300560,10000002,belong_to
300563,10000002,belong_to
300565,10000002,belong_to
300570,10000002,belong_to
300593,10000002,belong_to
300597,10000002,belong_to
300602,10000002,belong_to
300615,10000002,belong_to
300620,10000002,belong_to
300629,10000002,belong_to
300635,10000002,belong_to
300638,10000002,belong_to
300679,10000002,belong_to
300684,10000002,belong_to
300698,10000002,belong_to
300710,10000002,belong_to
300711,10000002,belong_to
300726,10000002,belong_to
600050,10000002,belong_to
600105,10000002,belong_to
600198,10000002,belong_to
600260,10000002,belong_to
600289,10000002,belong_to
600345,10000002,belong_to
600487,10000002,belong_to
600498,10000002,belong_to
600522,10000002,belong_to
600703,10000002,belong_to
600745,10000002,belong_to
600775,10000002,belong_to
600776,10000002,belong_to
600804,10000002,belong_to
601869,10000002,belong_to
603042,10000002,belong_to
603083,10000002,belong_to
603118,10000002,belong_to
603186,10000002,belong_to
603220,10000002,belong_to
603322,10000002,belong_to
603559,10000002,belong_to
603602,10000002,belong_to
603618,10000002,belong_to
603678,10000002,belong_to
603679,10000002,belong_to
603803,10000002,belong_to
603912,10000002,belong_to
603991,10000002,belong_to
000089,10000003,belong_to
600004,10000003,belong_to
600009,10000003,belong_to
600463,10000003,belong_to
600897,10000003,belong_to
000596,10000004,belong_to
000661,10000004,belong_to
002304,10000004,belong_to
002916,10000004,belong_to
300628,10000004,belong_to
300747,10000004,belong_to
300751,10000004,belong_to
300760,10000004,belong_to
600436,10000004,belong_to
600519,10000004,belong_to
603160,10000004,belong_to
603444,10000004,belong_to
603833,10000004,belong_to
000422,10000005,belong_to
000510,10000005,belong_to
000635,10000005,belong_to
000698,10000005,belong_to
000818,10000005,belong_to
000830,10000005,belong_to
002092,10000005,belong_to
002386,10000005,belong_to
002748,10000005,belong_to
600075,10000005,belong_to
600141,10000005,belong_to
600160,10000005,belong_to
600273,10000005,belong_to
600277,10000005,belong_to
600295,10000005,belong_to
600301,10000005,belong_to
600319,10000005,belong_to
600328,10000005,belong_to
600389,10000005,belong_to
600409,10000005,belong_to
600618,10000005,belong_to
601216,10000005,belong_to
601678,10000005,belong_to
600036,10000006,belong_to
600585,10000006,belong_to
600660,10000006,belong_to
601318,10000006,belong_to
000627,10000007,belong_to
600291,10000007,belong_to
601318,10000007,belong_to
601319,10000007,belong_to
601336,10000007,belong_to
601601,10000007,belong_to
601628,10000007,belong_to
000422,10000008,belong_to
000510,10000008,belong_to
000635,10000008,belong_to
000792,10000008,belong_to
002002,10000008,belong_to
002092,10000008,belong_to
002386,10000008,belong_to
600075,10000008,belong_to
600277,10000008,belong_to
600295,10000008,belong_to
600328,10000008,belong_to
600409,10000008,belong_to
601216,10000008,belong_to
000729,10000009,belong_to
000752,10000009,belong_to
000929,10000009,belong_to
002461,10000009,belong_to
600132,10000009,belong_to
600573,10000009,belong_to
600600,10000009,belong_to
603076,10000009,belong_to
000027,10000010,belong_to
000037,10000010,belong_to
000301,10000010,belong_to
000531,10000010,belong_to
000539,10000010,belong_to
000543,10000010,belong_to
000552,10000010,belong_to
